artist,song name,genre,lyrics
piney brown,how about rocking with me,blues,chop garlic herbs flip linguistic pimp shit leave hand right stick shift inscription pippen baggy pant dance like bivins live good floor ceiling bath marble toilet seat heat middle night cause daddy gotta early morning flight gold frame intelligent thug prescription smoke weed addiction doctor say need condition heavy lift guess need help piss suck ball time cakey pinky game time black air hangtime age fine like montrachet wine mets ring father rock leather holster thing iron meet clients work title press thousand record maui whatchu know press vinyl jamaica get paper blow vapor stitch show niggas possed tailor motor city roll elegant nigga understand grip steer wheel like young pimp steady chop blades cardier wire frame force ones clean ball fade switch whip hop outta allterrain fours grip road rain take bauer spell inglish come shop workin
the ravens,midnight blues,blues,think know songs write starcrossed sell harmonies go tune time silver time blue midnight dancers spin silver moon stone romancers answer time silver time blue instrumental flute electric slide guitar time silver time blue think know songs write time silver time blue instrumental flute electric slide guitar time silver time blue
the ravens,gotta find my baby,blues,talk mother like tell right anticipate long night damn early sleepwalkin eye look like macaulay culkin watch roll city like hawkins bitch waka flock walk wanna like deal burgundy underground poppin commercially buzz like motherfuckin worker need couple want check gotta rent life suck like raven date girl dinner home great yeah long night guarantee probably sunlight eye wide shut couple buck couple drink turn like tell right anticipate long night woah grab corona pass alright alright yeah run face party crib hella grateful minute bedroom strangers talk granger run pacers mean phase know mind vacation track chasers pack crowd lamesters kick apartment square garden watch rangers central dark somebody stalk danger come crib benz mean chesire shout look like hemsworth kickin baby nword shwoop tell right anticipate long night woah grab corona pass alright alright rapper ashin hotel sink management swear hotel stink time yellin hold minute doorbell ring coke glisten nose earring niggas tryna function nigga function weed pungent probably punch import punch actin inpugnant actin turn turn turn high burn burn burn fuck fuck remember tonight fuck bathroom frosty forget sprite tell right anticipate long night woah grab corona pass alright alright
the ravens,you're gonna lose your gal,blues,silvertressed darlings ravenmaned delight windward get fire beat night head walk head walk head walk close warn growl cuttin struttin leatherchested head walk head walk head walk better listen distance crimson crime warpath kiss girl kiss girl kiss girl heart like diamonds story gonna lose hellbound crimson head walk head walk head walk heed wise say away head
ella fitzgerald,i've got a crush on you,blues,hmmmmm crush guess crush sweetie night time sign notion fall emotion care cunning cottage share world pardon mush cause crush baby million ralish millionairs carish capture persistence wear resistance fell swell brave handsome shall know attractive heart grow active come view crush sweetie nighttime sigh notion fall emotion care cunning cottage share world pardon mush cause crush baby
ella fitzgerald,but not for me,blues,write songs star lead cloud graay russian play coud garauntee fool fall hiho alas lack dismiss memory kiss guess
ella fitzgerald,soon,blues,soon lonely nights end soon hearts blend happiness wait fat soon little cottage safe care world tune come soon soon soon soon dear lonely soon live care time place climate soon little ship sail home fail world tune come soon bridge soon little ship sail home fail world tune come soon
josh white,call me darling,blues,know right know hear head childs hear loud right talk muthafucka hear fucker swoll muthafucka shell deflate know know fuck young toucan smell nigga cowards force hand real shoot make band steelo grand deal niggas baker bomb crack lick round like taliban mark vans think reign forever spoil plan hard muthafucka leave stand gatling island slaughterhouses bout get cream bitch slug crutches exclusive white mustard flow leave fluster gargle lungs staple note little tongue broadway landmark childs landmark broad daylight dark step close play like catch rib play like baby mother movies play like shit game nigga play play fucker nigga nigga turn fuck muthafucka btown nigga slaughterhouses killa blood
louis prima,the bigger the figure (with keely smith),blues,night night weak break chain bind need shackle remind prisoner command stand master fate escape late prisoner good care share free dream awake sleep ummm knees creep yeahyeah soul keep mjust prisonerof
louis prima,one mint julep,blues,early mornin walkin woman start talkin go tavern nip mint julep mint julep cause remember start know part steal kiss mean mint julep cause light burn tavern swingin door jump father say kiss daughter right face slaughter know doin face ruin mint julep mint julep mint julep mint julep mint julep cause listen want bore trouble thinkin double roses maybe maybe tulips trouble buy juleps remember start know part mint julep mint julep mint julep mint julep mint julep mint julep cause
louis prima,eleanor,blues,open open open door open open open door outside cold freezin listen lover sneezin achoo open open open door shower hug kiss galore kiss anymore think door open open open door faccia brutto faccia brutto anymore chicken cacciatore eat meat throw bone open open open door openza door cold outside baby
louis prima,basta,blues,basta basta basta basta begin stop basta basta basta basta get rough hardly catch breath squeeze death color blindness light kill kindness face alet neck alet ears alet head basta basta basta basta tender touch release clutch basta basta basta basta basta basta basta commence cease yell police basta basta basta basta give squeeze easy long train iron grip hate complainin alet throat alet alet basta basta basta basta gettin rough pretty fluff tough guff basta basta basta basta basta basta basta get rough hardly catch breath squeeze death color blindness light face alet neck alet ears alet head basta basta basta basta tender touch release clutch basta basta basta
ella fitzgerald,you'll have to swing it (mr. paganini),blues,concert carnagie maestro take say dear friends give sorry balcony high suddenly come mournful paganini play rhapsody play sing sing simply scat listen paganini breathlessly await masterful tente sling sling simply scat hear repertoire final greet wild applause great ovation interpretation care moonlight sky blink fireflies paganini meanie sleeve come spring spring simply scat listen paganini play rhapsody play sing boys bop need stop scat listen paganini breathlessly await masterful tente come spring boys bop need stop scat hear repertoire final greet greet wild applause great ovation interpretation scat listen paganini meanie sleeve come spring spring simply swing
ella fitzgerald,it might as well be spring,blues,restless windstorm jumpy puppet string spring fever know spring starry eye vaguely discontent like nightingale song sing spring fever spring wish walk strange street hear word head meet busy spider spin daydream giddy baby swing see crocus rosebud wing feel melancholy spring spring
ella fitzgerald,thanks for the memory,blues,thank memory things forget journey wond rous week martinique vegas roulette thank memory summer waikiki london stop cozy breakup morningafter long sound laughter laugh thank memory touch thrill live learn love miss thank memory barbecue malibu away smog rainy thank memory letter destroy book enjoy tonight things look need book freud brainy go even broadway great begin late wish watch know fallacy grow baby roses forget roses thank
ella fitzgerald,"lover, come back to me",blues,go away break tie bind want forget leave past magic night stay forever mind blue high moon eager heart sing lover come past go away ache heart sing lover come remember little thing lonely road walk walk wonder lonely blue night cold moon wait heart sing lover come remember little thing grow lonely road walk walk wonder lonely blue night cold moon wait heart sing lover come
ella fitzgerald,taking a chance on love,blues,writers hear trumpet blow aglow take slide ride starry eye take think card frameup take game hearts high things mend rainbow blend end take instrumental break slip grip take prove life take walk horseshoe clover brother rabbit course better kiss foot goodbye ball rid fall gonna take
ella fitzgerald,between the devil and the deep blue sea,blues,want hate lose devil deep blue forgive cause forget devil deep blue oughta cross list come knockin door fate heart twist come run hate guess devil deep blue oughta cross list come knockin door fate heart twist come run hate guess scat interlude devil deep blue
billie holiday,yesterdays,blues,yesterdays yesterdays days know sweet sequester days olden days golden days days romance youth truth free flame life sooth today dreamin yesterdays yesterdays yesterdays days know sweet sequester days olden days golden days days romance youth truth free flame life sooth today dreamin yesterdays
billie holiday,i can't face the music,blues,breeze stop moanin weird melodies leave face music singin blue rhythm window pane drive insane face music singin blue heart break speak lord sympathy help help deap blue gonna misery leave face music singin blue
billie holiday,remember,blues,sweet expression smile give look meet easy remember hard forget hear whisper know easy remember hard forget dream hand caress finger press tight dream lonely feel steal night little moment clear bring regret easy remember hard forget
odetta,no more cane on the brazo,blues,cane brazos grind molasses rise rise bring judgement sure sentence like ninetynine years dog brazos wouldn shoulda nineteen drivin women like nineteen dead body cane brazos grind molasses
odetta,santy anno,blues,sail cross river liverpool heave away santy anno horn frisco californio heave away heave away santy anno heave away californio plenty gold tell heave away santy anno plenty gold tell californio heave away heave away santy anno heave away californio days heave away santy anno days good time californio heave away heave away santy anno heave away californio
ella fitzgerald,i'm glad there is you,blues,world ordinary people extraordinary people world overrate pleasures underrate treasure live live role muddle guide world play hardly stay world play hardly stay
ella fitzgerald,what is there to say?,blues,dream seek practically speak come true pull know moment contentment wholement lovable livable beauty unforgivable marvel word effect heart deadlock face wedlock lovable livable beauty unforgivable marvel word effect heart deadlock face wedlock
